Ident	P1	P1_r	P2_2	P3a1	P3a2	P3a3	P3a4	P3a5	P3a6	P3a7	P3a8	P4	P5	P6	P7a1	P7a2	P7a3	P7a4	P7a5	P7a6	P7a7	P7a8	P7a9	P7a10	P8	P9_1a1	P9_1a2	P9_1a3	P9_1a4	P9_1a5	P9_1a6	P9_1a7	P9_1a8	P9_1a9	P9_1a10	P9_1a11	P9_1a12	P9_2a1	P9_2a2	P9_2a3	P9_2a4	P9_2a5	P9_2a6	P9_2a7	P9_2a8	P9_2a9	P9_2a10	P9_2a11	P9_2a12	P10	control	P11	P12a1	P12a2	P12a3	P12a4	P12a5	P12a6	P12a7	P12a8	P12a9	P13	P14	P15	P16	P17	P18	P19	P20a1	P20a2	P20a3	P20a4	P20a5	P20a6	P20a7	P20a8	P20a9	P20a10	P20a11	P20a12	P21_1	P21_2	P21_3	P21_4	P21_5	P21_6	P21_7	P21_8	P21_9	P22_1	P22_2	P22_3	P23	P24a1	P24a2	P24a3	P24a4	P24a5	P24a6	P24a7	P24a8	P24a9	P24a10	P24a11	P24a12	P24a13	P24a14	P24a15	P25a1	P25a2	P25a3	P25a4	P25a5	P25a6	P25a7	P26_1	P26_2	P26_3	P27	P28	P29	P30	P31_1	P31_2	P31_3	P32	P33	P34	P34_DG	P35	P36	P35_DG	Nivel socioeconomico	P37
1620063938	18	2	20			1						2	3	3											5						1							1												2	3	3	1			1	1					2	7	2		3	2	2			1			1	1						1	2	2	2	2	3	3	2	2	2	2	2																				1		1		4	3	3	4	2	3	2	En desarrollo	 	 	4	2	4	5	5		5	2	5
1620210684	18	2	12			1						1	4	4											1					1																			1	6	3	2	1	1			1		1			2	3	2		1	1	3	1												1	3	2	3	1	4	2	3	1	1	1	1	1																	1			1			3	2	4	3	2	3	2	Libre	Diversidad	 	4	2	3	4	5		5	6	1
1620504892	18	2	9			1						1	4	4											5	1												1												2	3	4		1		1						2	7	2		1	1	3			1			1	1						2	3	2	3	2	1	2	1	2	2	1	2	3										1	1	1					1			1			4	3	2	3	2	3	2	Acogedora	Libertad	Amor	4	2	4	5	5		5	4	99
1620573242	18	2	20			1						2	4	4											5	1												1												1	3	3				1						2	7	2		3	2	3			1			1							4	3	3	4	3	4	3	4	2	2	2	2																						1		5	5	4	2	1	3	2	segura	diversa	respetable	4	2	4	5	5		5	4	6
1620756775	18	2	22			1						2	4	4											1		1												1											2	3	3									1	2	9	2		3	1	3	1		1										3	5	3	3	5	5	3	5	2	2	2	2																				1				4	4	4	5	3	3	1	No	Lo	Se	4	2	3	4	5		5	4	99
1620090769	19	2	10			1						2	4	5											5	1												1												2	3	2				1						1	8	2		1	2	2		1	1		1	1	1			1			2	4	4	4	3	4	3	3	2	2	2	2																							1	4	6	4	5	2	2	2	Orgullo	Chueca	 	3	4	4	5	5		5	5	99
1620146609	19	2	7			1						2	5	5											5							1						1												1	3	4	1									1	6	2		2	1	1	1	1	1	1	1	1	1	1	1	1	1		1	3	2	3	1	2	3	3	3	2	2	2																							1	6	6	6	4	2	3	2	Orgullo	 	 	3	2	4	5	5		5	4	9
1620200281	19	2	16			1						1	4	4											5		1											1												2	3	2	1	1		1		1	1	1		2	7	2		1	4	2	1	1	1				1						2	3	3	4	1	3	3	2	2	1	1	1	2		1		1		1			1							1	1			1			4	5	4	3	2	2	2	Inclusiva	Chueca	Pluma	4	2	4	5	5		5	2	8
1620202883	19	2	14			1						1	3	2											1								1													1				3	3	2				1	1			1		2	3	2		3	2	4	1		1										5	3	3	2	2	2	4	2	4	1	2	1	3	1		1		1											1			1				2	2	3	3	3	3	2	marginacion	 	 	4	2	4	5	5		5	5	4
1620210812	19	2	9			1						2	5	5											5		1												1											2	3	3									1	2	7	2		1	3	3	1	1	1		1		1						2	4	3	3	3	2	3	1	2	1	1	1	1																1					1		3	2	2	4	3	1	2	Orgullo	Libertad	Generosidad	1	4	8	8	1	2	2	2	5
